VALOR;VIGENCIADESDE;VIGENCIAHASTA
1,845.51;03/11/2010;03/11/2010
1,840.51;04/11/2010;04/11/2010
1,821.05;05/11/2010;05/11/2010
1,817.70;06/11/2010;08/11/2010
1,828.28;09/11/2010;09/11/2010
1,836.27;10/11/2010;10/11/2010
1,858.01;11/11/2010;12/11/2010
1,861.74;13/11/2010;16/11/2010
1,880.98;17/11/2010;17/11/2010
1,875.78;18/11/2010;18/11/2010
1,865.82;19/11/2010;19/11/2010
1,875.39;20/11/2010;22/11/2010
1,882.00;23/11/2010;23/11/2010
1,892.84;24/11/2010;24/11/2010
1,889.11;25/11/2010;26/11/2010
1,906.69;27/11/2010;29/11/2010
1,916.96;30/11/2010;30/11/2010
1,932.63;01/12/2010;01/12/2010
1,933.58;02/12/2010;02/12/2010
1,920.00;03/12/2010;03/12/2010
1,896.73;04/12/2010;06/12/2010
1,889.75;07/12/2010;07/12/2010
1,880.82;08/12/2010;09/12/2010
1,902.72;10/12/2010;10/12/2010
1,911.87;11/12/2010;13/12/2010
1,894.12;14/12/2010;14/12/2010
1,899.89;15/12/2010;15/12/2010
1,905.84;16/12/2010;16/12/2010
1,916.09;17/12/2010;17/12/2010
1,923.13;18/12/2010;20/12/2010
1,928.71;21/12/2010;21/12/2010
1,934.96;22/12/2010;22/12/2010
1,934.44;23/12/2010;23/12/2010
1,928.33;24/12/2010;24/12/2010
1,939.54;25/12/2010;27/12/2010
1,964.57;28/12/2010;28/12/2010
2,027.33;29/12/2010;29/12/2010
1,989.88;30/12/2010;30/12/2010
1,913.98;31/12/2010;03/01/2011
1,902.71;04/01/2011;04/01/2011
1,899.86;05/01/2011;05/01/2011
1,894.82;06/01/2011;06/01/2011
1,869.94;07/01/2011;07/01/2011
1,859.97;08/01/2011;11/01/2011
1,856.79;12/01/2011;12/01/2011
1,855.46;13/01/2011;13/01/2011
1,864.36;14/01/2011;14/01/2011
1,872.46;15/01/2011;18/01/2011
1,864.64;19/01/2011;19/01/2011
1,841.90;20/01/2011;20/01/2011
1,849.59;21/01/2011;21/01/2011
1,838.94;22/01/2011;24/01/2011
1,842.43;25/01/2011;25/01/2011
1,853.71;26/01/2011;26/01/2011
2,261.12;18/04/2002;18/04/2002
2,256.66;19/04/2002;19/04/2002
2,260.90;20/04/2002;22/04/2002
2,259.88;23/04/2002;23/04/2002
2,263.68;24/04/2002;24/04/2002
2,265.70;25/04/2002;25/04/2002
2,267.40;26/04/2002;26/04/2002
2,270.92;27/04/2002;29/04/2002
2,275.35;30/04/2002;30/04/2002
2,275.43;01/05/2002;02/05/2002
2,279.56;03/05/2002;03/05/2002
2,286.39;04/05/2002;06/05/2002
2,285.64;07/05/2002;07/05/2002
2,286.60;08/05/2002;08/05/2002
2,284.93;09/05/2002;09/05/2002
2,289.17;10/05/2002;10/05/2002
2,292.00;11/05/2002;14/05/2002
2,293.00;15/05/2002;15/05/2002
2,300.02;16/05/2002;16/05/2002
2,314.21;17/05/2002;17/05/2002
2,332.68;18/05/2002;20/05/2002
2,350.20;21/05/2002;21/05/2002
2,363.28;22/05/2002;22/05/2002
2,349.80;23/05/2002;23/05/2002
2,338.55;24/05/2002;24/05/2002
2,331.07;25/05/2002;27/05/2002
2,309.85;28/05/2002;28/05/2002
2,314.30;29/05/2002;29/05/2002
2,317.12;30/05/2002;30/05/2002
2,321.16;31/05/2002;31/05/2002
2,321.68;01/06/2002;04/06/2002
2,324.54;05/06/2002;05/06/2002
2,331.69;06/06/2002;06/06/2002
2,335.30;07/06/2002;07/06/2002
2,336.11;08/06/2002;11/06/2002
2,340.36;12/06/2002;12/06/2002
2,347.68;13/06/2002;13/06/2002
2,357.14;14/06/2002;14/06/2002
2,369.12;15/06/2002;17/06/2002
2,379.92;18/06/2002;18/06/2002
2,383.31;19/06/2002;19/06/2002
2,393.87;20/06/2002;20/06/2002
2,391.65;21/06/2002;21/06/2002
2,384.22;22/06/2002;24/06/2002
2,383.41;25/06/2002;25/06/2002
2,386.18;26/06/2002;26/06/2002
2,392.13;27/06/2002;27/06/2002
2,398.14;28/06/2002;28/06/2002
2,398.82;29/06/2002;02/07/2002
2,410.54;03/07/2002;03/07/2002
2,425.42;04/07/2002;04/07/2002
2,426.40;05/07/2002;05/07/2002
2,434.32;06/07/2002;08/07/2002
2,457.39;09/07/2002;09/07/2002
2,462.18;10/07/2002;10/07/2002
2,482.21;11/07/2002;11/07/2002
2,506.84;12/07/2002;12/07/2002
2,513.99;13/07/2002;15/07/2002
2,507.21;16/07/2002;16/07/2002
2,499.92;17/07/2002;17/07/2002
2,524.76;18/07/2002;18/07/2002
2,538.47;19/07/2002;19/07/2002
2,529.57;20/07/2002;22/07/2002
2,517.42;23/07/2002;23/07/2002
2,539.00;24/07/2002;24/07/2002
2,572.42;25/07/2002;25/07/2002
2,580.15;26/07/2002;26/07/2002
2,596.26;27/07/2002;29/07/2002
2,599.57;30/07/2002;30/07/2002
2,625.06;31/07/2002;31/07/2002
